Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"30,651",Ministry of Education,Operating Expense,Ministry Administration,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"41,233",Ministry of Education,Operating Expense,Elementary and Secondary Education,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"47,400",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Transfer Payments,Payments in lieu of Municipal Taxation
2014-2015,"49,301",Ministry of Education,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"323,570",Ministry of Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Transportation and communication,
2014-2015,"358,771",Ministry of Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Supplies and equipment,
2014-2015,"376,156",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Supplies and equipment,
2014-2015,"765,513",Ministry of Education,Capital Expense,Child Care and Early Years Programs,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"887,773",Ministry of Education,Capital Expense,Elementary and Secondary Education,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"1,000,000",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Transfer Payments,Office des télécommunications éducatives de langue français de l’Ontario
2014-2015,"1,100,992",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Transportation and communication,
2014-2015,"1,192,431",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Transportation and communication,
2014-2015,"1,328,633",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Supplies and equipment,
2014-2015,"1,600,000",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Transfer Payments,Ontario Education Communications Authority
2014-2015,"1,911,544",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Employee Benefits,
2014-2015,"1,959,734",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,Miscellaneous Grants
2014-2015,"3,651,613",Ministry of Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Employee Benefits,
2014-2015,"4,369,458",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Supplies and equipment,
2014-2015,"4,785,554",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Services,
2014-2015,"5,741,313",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transportation and communication,
2014-2015,"6,642,885",Ministry of Education,Capital Expense,Child Care and Early Years Programs,Child Care Capital,Child Care Capital,Transfer Payments,Child Care Stabilization
2014-2015,"7,485,913",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Employee Benefits,
2014-2015,"8,046,104",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Employee Benefits,
2014-2015,"10,504,910",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Other Transactions,Support for Elementary and Secondary Education
2014-2015,"11,458,810",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Services,
2014-2015,"13,250,968",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Salaries and Wages,
2014-2015,"16,089,412",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Transfer Payments,School Board Capital Funding for Child Care
2014-2015,"24,793,700",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Transfer Payments,Office des télécommunications éducatives de langue français de l’Ontario
2014-2015,"25,966,454",Ministry of Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Salaries and Wages,
2014-2015,"31,282,090",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,Education Quality and Accountability Office
2014-2015,"33,741,723",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,Official Languages Projects
2014-2015,"44,889,380",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Transfer Payments,Ontario Education Communications Authority
2014-2015,"46,246,501",Ministry of Education,Operating Expense,Elementary and Secondary Education,Educational Operations,Educational Operations,Salaries and Wages,
2014-2015,"57,888,223",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Services,
2014-2015,"63,510,502",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Salaries and Wages,
2014-2015,"88,875,374",Ministry of Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,Services,
2014-2015,"437,831,628",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Transfer Payments,Early Learning Program
2014-2015,"564,435,281",Ministry of Education,Operating Expense,Elementary and Secondary Education,Teachers' Pension Fund,Statutory Appropriations,Transfer payments,
2014-2015,"653,651,580",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,Education Programs-Other
2014-2015,"764,582,453",Ministry of Education,Capital Expense,Elementary and Secondary Education,Support for Elementary and Secondary Education,Support for Elementary and Secondary Education,Transfer Payments,School Board Capital Grants
2014-2015,"1,153,341,173",Ministry of Education,Operating Expense,Child Care and Early Years Programs,Policy Development and Program Delivery,Policy Development and Program Delivery,Transfer Payments,Child Care and Early Years
2014-2015,"6,596,328,680",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,Education Property Tax Non-Cash Expense
2014-2015,"15,294,501,611",Ministry of Education,Operating Expense,Elementary and Secondary Education,Policy and Program Delivery,Policy and Program Delivery,Transfer Payments,School Board Operating Grants
2014-2015,-,Ministry of Education,Capital Expense,Child Care and Early Years Programs,Child Care Expenses related to Capital Assets,,Other transactions,
2014-2015,-,Ministry of Education,Capital Expense,Elementary and Secondary Education,Elementary and Secondary Education Expense related to Capital Assets,,Other transactions,
2014-2015,"16,010,853",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Salaries and wages,
2014-2015,"2,886,436",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Employee benefits,
2014-2015,"369,785",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Transportation and communication,
2014-2015,"6,395,441",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Services,
2014-2015,"329,478",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Supplies and equipment,
2014-2015,"-7,353,178",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Salaries and wages,Recoveries
2014-2015,"-1,325,702",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Employee benefits,Recoveries
2014-2015,"-77,083",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Transportation and communication,Recoveries
2014-2015,"-1,878,314",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Services,Recoveries
2014-2015,"-112,120",Ministry of Education,Operating Expense,Ministry Administration,Ministry Administration,Ministry Administration,Supplies and equipment,Recoveries
2014-2015,"-3,167,700",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Services,Recoveries
2014-2015,"-825,100",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Information Systems,Services,Recoveries
2014-2015,"-395,300",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,Recoveries
2014-2015,"-11,800",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,Recoveries
2014-2015,-,Ministry of Energy,Operating Expense,Energy Development and Management,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Energy,Capital Expense,Energy Development and Management,Energy Development and Management - Expense related to Capital Assets,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Energy,Capital Expense,Energy Development and Management,Amortization,Statutory Appropriations,Other transactions,
2014-2015,314,Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2014-2015,624,Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"1,099",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Employee benefits,
2014-2015,"1,963",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Salaries and wages,
2014-2015,"10,591",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2014-2015,"10,696",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Information Systems,Transportation and communication,
2014-2015,"14,354",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Information Systems,Supplies and equipment,
2014-2015,"17,541",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"18,630",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"20,703",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"23,757",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"49,301",Ministry of Energy,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"45,899",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"54,234",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Supplies and equipment,
2014-2015,"68,440",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Transportation and communication,
2014-2015,"81,124",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"99,271",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"102,678",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"111,529",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Supplies and equipment,
2014-2015,"153,941",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Transfer payments,Aboriginal Engagement Agreements
2014-2015,"157,369",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Services,
2014-2015,"183,429",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Transfer payments,Conservation Initiatives
2014-2015,"202,768",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Transportation and communication,
2014-2015,"243,003",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"311,209",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2014-2015,"339,062",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"390,210",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"406,837",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Employee benefits,
2014-2015,-,Ministry of Energy,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"584,998",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"798,607",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Transfer payments,Green Energy Initiatives
2014-2015,"1,178,613",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Information Systems,Services,
2014-2015,"1,376,576",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Employee benefits,
2014-2015,"1,975,010",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"2,607,027",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"2,860,985",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Analysis and Planning,Salaries and wages,
2014-2015,"3,492,980",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"4,298,532",Ministry of Energy,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Services,
2014-2015,"4,774,409",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Services,
2014-2015,"10,291,928",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Transfer payments,Smart Grid Fund
2014-2015,"10,745,039",Ministry of Energy,Operating Expense,Energy Development and Management,Policy and Programs,Policy and Programs,Salaries and wages,
2014-2015,"24,333,870",Ministry of Energy,Operating Expense,Electricity Price Mitigation,Northern Ontario Energy Credit,Northern Ontario Energy Credit,Transfer payments,Northern Ontario Energy Credit
2014-2015,"1,077,960,661",Ministry of Energy,Operating Expense,Electricity Price Mitigation,Ontario Clean Energy Benefit,Ontario Clean Energy Benefit,Transfer payments,"Ontario Clean Energy Benefit Act, 2010"
2014-2015,-,Ministry of Finance,Capital Expense,"Economic, Fiscal, and Financial Policy",Amortization,,,
2014-2015,-,Ministry of Finance,Capital Expense,Ministry Administration,Amortization,,,
2014-2015,"9,918,772,034",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Interest on Ontario Securities For general purposes
2014-2015,"1,038,000,000",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Electricity Financial Corporation Dedicated Electricity Earnings,Ontario Electricity Financial Corporation Dedicated Electricity Earnings,Other transactions,Electricity Sector Dedicated Income
2014-2015,"541,500,000",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Municipal Support Programs,Municipal Support Programs,Transfer payments,Ontario Municipal Partnership Fund
2014-2015,"519,772,501",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Interest on Debt Payable to Ontario Electricity Financial Corporation
2014-2015,"506,089,384",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Canada Pension Plan Investment Board
2014-2015,"125,513,295",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Guaranteed Annual Income System
2014-2015,"109,732,175",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Services,
2014-2015,"87,495,000",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Municipal Support Programs,Municipal Support Programs,Transfer payments,Greater Toronto Area Pooling Compensation
2014-2015,"54,995,274",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Salaries and wages,
2014-2015,"46,647,263",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"42,195,393",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Services,
2014-2015,"37,500,000",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"35,367,913",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Salaries and wages,
2014-2015,"25,873,588",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Services,
2014-2015,"22,430,072",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Salaries and wages,
2014-2015,"18,072,400",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Municipal Support Programs,Municipal Support Programs,Transfer payments,Special Payments to Municipalities
2014-2015,"13,403,369",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Provincial-Local Finance,Provincial-Local Finance,Services,
2014-2015,"12,509,928",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Ontario Immigrant Investor Corporation
2014-2015,"11,596,930",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Office of the Provincial Controller,Services,
2014-2015,"11,125,479",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Employee benefits,
2014-2015,"8,731,174",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Employee benefits,
2014-2015,"8,659,391",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"8,317,694",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Budget and Treasury Board Office,Salaries and wages,
2014-2015,"8,310,591",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Salaries and wages,
2014-2015,"7,458,279",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Salaries and wages,
2014-2015,"7,337,749",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Canada Mortgage and Housing Corporation
2014-2015,"7,058,786",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Office of the Provincial Controller,Salaries and wages,
2014-2015,"6,336,912",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Public Service Pension Fund
2014-2015,"5,654,745",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2014-2015,"5,543,079",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Services,
2014-2015,"5,493,435",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Taxation Policy,Taxation Policy,Salaries and wages,
2014-2015,"4,936,975",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Provincial-Local Finance,Provincial-Local Finance,Salaries and wages,
2014-2015,"4,901,923",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Payments to Private Collection Agencies,Statutory Appropriations,Services,
2014-2015,"4,601,656",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy","Pension, Income Security and Research","Pension, Income Security and Research",Salaries and wages,
2014-2015,"4,255,886",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"4,104,910",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"3,894,436",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Services,
2014-2015,"3,538,425",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Services,
2014-2015,"3,463,765",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"3,146,915",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Budget and Treasury Board Office,Services,
2014-2015,"3,026,124",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Employee benefits,
2014-2015,"3,010,380",Ministry of Finance,Operating Expense,Treasury,Interest on Debt,Statutory Appropriations,Other transactions,Ontario Public Service Employees Union Pension Fund
2014-2015,"2,655,703",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Transportation and communication,
2014-2015,"2,637,609",Ministry of Finance,Capital Expense,Tax and Benefits Administration,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"1,939,054",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Salaries and wages,
2014-2015,"1,896,442",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Securities Reform Division,Securities Reform Division,Salaries and wages,
2014-2015,"1,745,906",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Taxation Policy,Taxation Policy,Services,
2014-2015,"1,655,614",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Salaries and wages,
2014-2015,"1,613,726",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Employee benefits,
2014-2015,"1,472,135",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Budget and Treasury Board Office,Employee benefits,
2014-2015,"1,420,682",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"1,297,029",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,Tax Compliance and Benefits,Supplies and equipment,
2014-2015,"1,233,499",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Services,
2014-2015,"1,217,382",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"994,633",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Employee benefits,
2014-2015,"977,462",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Employee benefits,
2014-2015,"904,294",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy","Pension, Income Security and Research","Pension, Income Security and Research",Services,
2014-2015,"858,553",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Office of the Provincial Controller,Employee benefits,
2014-2015,"718,420",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Taxation Policy,Taxation Policy,Employee benefits,
2014-2015,"651,660",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Securities Reform Division,Securities Reform Division,Services,
2014-2015,"642,270",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"630,886",Ministry of Finance,Capital Expense,Financial Services Industry Regulation,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"623,668",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Provincial-Local Finance,Provincial-Local Finance,Employee benefits,
2014-2015,"572,314",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Transportation and communication,
2014-2015,"564,982",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy","Pension, Income Security and Research","Pension, Income Security and Research",Employee benefits,
2014-2015,"500,000",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Transfer payments,Grants in support of Economic and Financial Services Policy Research
2014-2015,"412,102",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"407,962",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Financial Services Commission of Ontario,Supplies and equipment,
2014-2015,"392,832",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Transportation and communication,
2014-2015,"379,588",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"357,134",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Services,
2014-2015,"318,008",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Economic Policy,Economic Policy,Supplies and equipment,
2014-2015,"285,206",Ministry of Finance,Operating Expense,Financial Services Industry Regulation,Financial Services Commission of Ontario,Motor Vehicle Accident Claims Fund,Employee benefits,
2014-2015,"252,478",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"227,262",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"224,007",Ministry of Finance,Operating Expense,"Taxation, Agencies and Pensions Policy",Revenue Agencies Oversight,Revenue Agencies Oversight,Employee benefits,
2014-2015,"204,175",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Securities Reform Division,Securities Reform Division,Employee benefits,
2014-2015,"203,048",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"186,277",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"182,488",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Ontario Internal Audit,Ontario Internal Audit,Supplies and equipment,
2014-2015,"174,075",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Budget and Treasury Board Office,Supplies and equipment,
2014-2015,"156,202",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2014-2015,"146,764",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"144,139",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"114,841",Ministry of Finance,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"106,127",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Provincial-Local Finance,Provincial-Local Finance,Transportation and communication,
2014-2015,"103,191",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Budget and Treasury Board Office,Transportation and communication,
2014-2015,"94,467",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Office of the Budget and Treasury Board,Office of the Provincial Controller,Transportation and communication,
2014-2015,"91,833",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Expenses Related to Auto Sector Shares,Expenses Related to Auto Sector Shares,Services,
2014-2015,"79,908",Ministry of Finance,Operating Expense,Tax and Benefits Administration,Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Transportation and communication,
2014-2015,"79,299",Ministry of Finance,Operating Expense,"Economic, Fiscal, and Financial Policy",Provincial-Local Finance,Provincial-Local Finance,Supplies and equipment,
