Year,Amount ($),Ministry Name (Level 1),"Expenditure Category (Operating / Capital)
(Level 2)","Program Name
(Level 3)","Activity / Item
(Level 4)","Sub-Item 
(Level 5)",Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2016-17,"143,624","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,
2016-17,"320,347","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2016-17,"926,443","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,
2016-17,"15,554","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,
2016-17,"18,306","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2016-17,"2,373,704","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2016-17,"54,045","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2016-17,"356,786","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,
2016-17,"956,085","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,
2016-17,"1,169,986","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2016-17,"5,897,899","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,
2016-17,"105,849","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Transportation and communication,
2016-17,"365,893","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Supplies and equipment,
2016-17,"641,354","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Employee benefits,
2016-17,"4,244,363","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Salaries and wages,
2016-17,"5,060,743","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Services,
2016-17,"20,417","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2016-17,"138,043","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Ministers' Salaries, the Executive Council Act"
2016-17,"96,779","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Supplies and equipment,
2016-17,"198,737","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Transportation and communication,
2016-17,"1,016,114","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Employee benefits,
2016-17,"2,586,380","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Transfer Payments,Transfer payments
2016-17,"5,065,604","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Services,
2016-17,"5,993,183","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Accessibility Directorate of Ontario,,Salaries and wages,
2016-17,"69,241","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Investment Ready: Certified Site
2016-17,"435,124","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Supplies and equipment,
2016-17,"498,554","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Trillium Network for Advanced Manufacturing
2016-17,"800,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Grants in Support of Business Development
2016-17,"1,212,800","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transportation and communication,
2016-17,"1,345,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Ontario Small Business Innovation Challenge Pilot
2016-17,"1,990,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Automotive Supplier Competitiveness Improvement Program
2016-17,"2,100,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Transportation and Innovation
2016-17,"3,147,816","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Employee benefits,
2016-17,"8,777,256","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Services,
2016-17,"15,201,981","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Strategic Jobs and Investment Fund
2016-17,"20,616,496","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Sector Support Grants
2016-17,"21,791,989","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Salaries and wages,
2016-17,"25,000,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Green Investment Fund
2016-17,"181,984,805","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,"Economic Development, Investment and Industry",Transfer Payments,Jobs and Prosperity Fund
2016-17,"189,398","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Supplies and equipment,
2016-17,"215,135","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transportation and communication,
2016-17,"450,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Valuing Ability – Community Loans Pilot Program
2016-17,"1,000,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Institute for Competitiveness and Prosperity
2016-17,"1,032,534","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Employee benefits,
2016-17,"1,380,100","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Youth Partnerships
2016-17,"1,993,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Social Enterprise Demonstration Fund
2016-17,"2,371,555","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Social Enterprise Supports
2016-17,"2,996,274","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Student Entrepreneurship Experience - Summer Company
2016-17,"7,116,605","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Entrepreneurship Programs
2016-17,"8,236,512","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Services,
2016-17,"8,487,433","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Salaries and wages,
2016-17,"9,132,341","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Youth Skills Connections
2016-17,"9,538,499","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Transfer Payments,Ontario Youth Entrepreneurship Fund
2016-17,"-900,000","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Policy and Strategy,Recoveries,
2016-17,"34,547","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Trade and Marketing,Supplies and equipment,
2016-17,"49,151","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Trade and Marketing,Transportation and communication,
2016-17,"254,003","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Trade and Marketing,Employee benefits,
2016-17,"2,050,518","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Trade and Marketing,Salaries and wages,
2016-17,"7,924,137","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Economic Development and Employment,Trade and Marketing,Services,
2016-17,"26,080","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Infrastructure Policy and Programs,,Supplies and equipment,
2016-17,"40,032","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Infrastructure Policy and Programs,,Transportation and communication,
2016-17,"407,404","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Infrastructure Policy and Programs,,Employee benefits,
2016-17,"838,970","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Infrastructure Policy and Programs,,Services,
2016-17,"3,129,920","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Infrastructure Policy and Programs,,Salaries and wages,
2016-17,"8,063","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Supplies and equipment,
2016-17,"44,745","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Transportation and communication,
2016-17,"449,285","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Employee benefits,
2016-17,"3,558,846","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Salaries and wages,
2016-17,"4,498,250","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Other transactions,
2016-17,"59,758,008","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Realty Programs,,Services,
2016-17,"108,522","Ministry Of Economic Development, Employment And Infrastructure /Ministry Of Research And Innovation",Operating Expense,"Economic Development, Employment And Infrastructure Program",Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"2,538,426",Ministry Of Government And Consumer Services,Operating Expense,Ops Diversity,Diversity Office,,Salaries and wages,
2016-17,"-34,076,464",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Recoveries,
2016-17,"1,883,260",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Supplies and equipment,
2016-17,"8,655,108",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Transportation and communication,
2016-17,"9,745,328",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Other transactions,
2016-17,"15,759,413",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Transfer Payments,Supply Chain Management and Innovation Projects in the Broader Public Sector
2016-17,"19,547,470",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Employee benefits,
2016-17,"60,838,941",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Services,
2016-17,"123,515,433",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Ontario Shared Services,,Salaries and wages,
2016-17,"-33,256,566",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,OPS Workplace Safety and Insurance Board Centralized Services,,Recoveries,
2016-17,"33,256,566",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,OPS Workplace Safety and Insurance Board Centralized Services,,Services,
2016-17,"4,390,866",Ministry Of Government And Consumer Services,Operating Expense,Ontario Shared Services,Statutory Appropriations,,Other transactions,Proceedings Against the Crown Act
2016-17,"-13,970,161",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Recoveries,
2016-17,"11,871,903",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Supplies and equipment,
2016-17,"15,595,538",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Transportation and communication,
2016-17,"19,730,671",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Employee benefits,
2016-17,"105,020,466",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Services,
2016-17,"111,206,503",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,ServiceOntario,,Salaries and wages,
2016-17,"12,472",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, The Financial Administration Act"
2016-17,"3,000,000",Ministry Of Government And Consumer Services,Operating Expense,Serviceontario Program,Statutory Appropriations,,Other transactions,"Claims against Land Titles Assurance Fund, the Land Titles Act"
2016-17,"31,126",Ministry Of Health And Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,,Supplies and equipment,
2016-17,"376,361",Ministry Of Health And Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,,Transportation and communication,
2016-17,"397,362",Ministry Of Health And Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,,Employee benefits,
2016-17,727,Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Transportation and communication,
2016-17,"1,400,186",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2016-17,"-4,187,500",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Recoveries,
2016-17,"36,466",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2016-17,"150,271",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,
2016-17,"812,660",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,
2016-17,"4,314,286",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2016-17,"5,186,992",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,
2016-17,"-4,157,800",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,
2016-17,"47,343",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2016-17,"121,563",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2016-17,"463,463",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,
2016-17,"1,275,598",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,
2016-17,"6,658,998",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2016-17,"-1,290,700",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Recoveries,
2016-17,"9,161",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,
2016-17,"23,104",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,
2016-17,"263,297",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,
2016-17,"449,783",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2016-17,"1,963,970",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,
2016-17,"-1,223,000",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Recoveries,
2016-17,"36,398",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,
2016-17,"37,725",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,
2016-17,"89,006",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2016-17,"3,061,909",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2016-17,"2,586,796",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,
2016-17,"20,831",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2016-17,"81,111",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,
2016-17,"226,608",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2016-17,"467,081",Ministry Of Education,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,
2016-17,"16,667",Ministry Of Education,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2016-17,"57,903",Ministry Of Education,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act"
2016-17,"-206,907",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Recoveries,
2016-17,"43,725",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Transfer Payments,Payments in lieu of municipal taxation
2016-17,"53,819",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Transfer Payments,Provincial Schools Student Enhancement Program
2016-17,"1,458,360",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Transportation and communication,
2016-17,"4,652,107",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Supplies and equipment,
2016-17,"7,732,223",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Employee benefits,
2016-17,"17,182,556",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Services,
2016-17,"24,793,700",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Transfer Payments,Office des télécommunications éducatives de langue française de l'Ontario
2016-17,"43,800,330",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Salaries and wages,
2016-17,"47,065,200",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Educational Operations,,Transfer Payments,Ontario Education Communications Authority
2016-17,"-11,139,350",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Recoveries,
2016-17,"799,316",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Supplies and equipment,
2016-17,"2,018,441",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Miscellaneous Grants
2016-17,"5,825,225",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transportation and communication,
2016-17,"8,852,703",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Employee benefits,
2016-17,"31,282,100",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Education Quality and Accountability Office
2016-17,"36,860,629",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Official Languages Projects
2016-17,"65,636,171",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Salaries and wages,
2016-17,"71,413,757",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Services,
2016-17,"156,186,260",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Provincial Benefits Trusts
2016-17,"357,582,414",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Education Programs - Other
2016-17,"6,922,345,022",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,Education Property Tax Non-Cash Expense
2016-17,"16,433,550,340",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Policy and Program Delivery,,Transfer Payments,School Board Operating Grants
2016-17,"5,380",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, The Financial Administration Act"
2016-17,"-376,613,767",Ministry Of Education,Operating Expense,Elementary And Secondary Education Program,Statutory Appropriations - Teachers' Pension Plan,,Transfer Payments,"Government Costs, the Teachers' Pension Act"
2016-17,"-62,652,605",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Recoveries,
2016-17,"60,547",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Other transactions,
2016-17,"212,536",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Supplies and equipment,
2016-17,"395,926",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Transportation and communication,
2016-17,"3,925,728",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Employee benefits,
2016-17,"29,739,707",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Salaries and wages,
2016-17,"89,000,951",Ministry Of Education,Operating Expense,Community Services Information And Information Technology Cluster,Community Services Information and Information Technology Cluster,,Services,
2016-17,"67,066",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Supplies and equipment,
2016-17,"874,087",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Transportation and communication,
2016-17,"2,048,551",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Employee benefits,
2016-17,"10,241,101",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Services,
2016-17,"13,076,325",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Salaries and wages,
2016-17,"1,355,762,115",Ministry Of Education,Operating Expense,Child Care And Early Years  Programs,Policy Development and Program Delivery,,Transfer Payments,Child Care and Early Years
2016-17,334,Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Supplies and equipment,
2016-17,"322,659",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2016-17,"53,961",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Supplies and equipment,
2016-17,"92,704",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Transportation and communication,
2016-17,"517,720",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Services,
2016-17,"618,293",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Employee benefits,
2016-17,"4,187,748",Ministry Of The Environment And Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Communications,Salaries and wages,
