Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"105,375",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"106,183",Community and Social Services,Operating Expense,Poverty Reduction Strategy Program,Poverty Reduction Strategy Office,No Value,Transportation and communication,No Value
2018-19,"106,505",Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Transportation and communication,No Value
2018-19,"106,604",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Transportation and communication,No Value
2018-19,"107,750",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Services,No Value
2018-19,"108,060","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Provincial Advocate for Children and Youth,No Value,Supplies and equipment,No Value
2018-19,"110,012",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,No Value
2018-19,"110,256",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Indigenous Drinking Water Program ,No Value,Transportation and communication,No Value
2018-19,"110,471",Transportation,Operating Expense,Labour and Transportation Cluster,Other Ministry Recoveries,No Value,Employee benefits,No Value
2018-19,"110,736",Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation,Labour Relations and Compensation,No Value,Supplies and equipment,No Value
2018-19,"111,300",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,Efficiency and Effectiveness Review
2018-19,"111,328",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,"Strategy, Stewardship and Program Policy",Transportation and communication,No Value
2018-19,"111,543",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Supplies and equipment,No Value
2018-19,"111,942",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Environment and Land Tribunals Ontario,Supplies and equipment,No Value
2018-19,"112,389",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Policy and Planning,Employee benefits,No Value
2018-19,"112,912",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Supplies and equipment,No Value
2018-19,"113,371","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transfer payments,Agri-Environmental Standards Research
2018-19,"113,559",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"115,000",Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,No Value,Supplies and equipment,No Value
2018-19,"115,000",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Ontario Parks,No Value,Transfer payments,Ontario Parks Resource Stewardship
2018-19,"116,660",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"116,998",Labour,Operating Expense,Labour Relations Program,Grievance Settlement Board,No Value,Transportation and communication,No Value
2018-19,"117,687",Education,Operating Expense,Ministry Administration Program,Main Ofice,Main Ofice,Services,Services
2018-19,"118,594",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Office of the Provincial Controller,Supplies and equipment,No Value
2018-19,"118,720",Environment and Climate Change,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"119,208",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"122,296",Labour,Operating Expense,Labour Relations Program,Ontario Skilled Trades ,No Value,Employee benefits,No Value
2018-19,"123,183",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2018-19,"123,443",Labour,Operating Expense,Labour Relations Program,Ontario Skilled Trades ,No Value,Services,No Value
2018-19,"124,142",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Transportation and communication,No Value
2018-19,"125,000",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Northern Ontario Municipal Associations
2018-19,"125,658",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"126,174",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Jury Roll
2018-19,"126,582",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Indigenous Drinking Water Program ,No Value,Services,No Value
2018-19,"127,669",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Transportation and communication,No Value
2018-19,"127,682","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Transportation and communication,No Value
2018-19,"129,512",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Services,No Value
2018-19,"129,921",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Investment and Governance ,Employee benefits,No Value
2018-19,"130,093",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"132,959",Labour,Operating Expense,Occupational Health and Safety Program,Prevention Office ,No Value,Transportation and communication,No Value
2018-19,"133,376",Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Remote Aviation,Transportation and communication,No Value
2018-19,"135,072",Education,Operating Expense,Community Services Information and Information Technology Cluster,Community Services Information and Information Technology Cluster,No Value,Transportation and communication,No Value
2018-19,"135,107",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Mapping and Geographic Information,Transportation and communication,No Value
2018-19,"135,193",Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Salaries and wages,No Value
2018-19,"137,671",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2018-19,"138,000",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Transfer payments,Municipal Disaster Recovery Assistance
2018-19,"138,961",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Supplies and equipment,No Value
2018-19,"139,450","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Transportation and communication,No Value
2018-19,"139,521",Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Salaries and wages,No Value
2018-19,"140,000",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"140,155","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Business Planning and Financial Services,Services,No Value
2018-19,"141,585",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"141,729","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"142,304",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons ,Children's Lawyer,Transportation and communication,No Value
2018-19,"143,283",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"144,265","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Supplies and equipment,No Value
2018-19,"144,273",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Transportation and communication,No Value
2018-19,"144,289",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transportation and communication,No Value
2018-19,"144,296",Municipal Affairs / Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,No Value,Transportation and communication,No Value
2018-19,"144,332",Seniors Affairs,Operating Expense,Ministry Administration,Ministry Administration,No Value,Employee benefits,No Value
2018-19,"145,709",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Tribunal ,No Value,Salaries and wages,No Value
2018-19,"146,392",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Transportation and communication,No Value
2018-19,"148,424","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Business Services,Transportation and communication,No Value
2018-19,"148,797",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Ministry Support Infrastructure,Supplies and equipment,No Value
2018-19,"149,071",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,Tax Compliance and Benefits,Transfer payments,Tax Compliance Partnership Agreements
2018-19,"150,250",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,No Value,Supplies and equipment,No Value
2018-19,"150,742",Energy,Operating Expense,Energy Development and Management,Policy and Programs,No Value,Transportation and communication,No Value
2018-19,"153,334",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2018-19,"154,147",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services and Corporate Support,Transportation and communication,No Value
2018-19,"155,800","Lieutenant Governor, Office of the",Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,No Value,Other transactions,Discretionary allowance
2018-19,"155,957",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Forest Industry ,Services,No Value
2018-19,"156,553","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",Greenhouse Gas Reduction Programs,Transfer payments,Greenhouse Gas Reduction Innovation Fund
2018-19,"156,975",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Claire,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"157,074",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,Policy,Transportation and communication,No Value
2018-19,"157,599",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Provincial Programs,No Value,Transfer payments,Healthy Homes Renovation Tax Credit
2018-19,"158,338",International Trade,Operating Expense,Ministry Administration,Ministry Administration,No Value,Employee benefits,No Value
2018-19,"159,225",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington ,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"161,190",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"162,077",Treasury Board Secretariat,Operating Expense,"Centre for Leadership, Learning, Human Resources Policy and Agency Oversight","Centre for Leadership, Learning, Human Resources Policy and Agency Oversight",No Value,Transfer payments,Quarter Century Club
2018-19,"162,955","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Supplies and equipment,No Value
2018-19,"162,984","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Transportation and communication,No Value
2018-19,"164,450",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2018-19,"165,092",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee benefits,No Value
2018-19,"165,919","Lieutenant Governor, Office of the",Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,No Value,Employee benefits,No Value
2018-19,"168,675",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"169,074",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2018-19,"170,292",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Transportation and communication,No Value
2018-19,"170,702",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2018-19,"172,631",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Supplies and equipment,No Value
2018-19,"173,968",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"174,389",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services and Corporate Support,Services,No Value
2018-19,"175,768",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2018-19,"175,789",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2018-19,"175,946",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"175,998",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2018-19,"176,041","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transfer payments,Environment Partnerships
2018-19,"176,257",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"176,258",Northern Development and Mines,Operating Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transfer payments,Reporting Ontarioís Mining Activities
2018-19,"178,873",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Employee benefits,No Value
2018-19,"179,642",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2018-19,"179,900",Transportation,Operating Expense,Provincial Highways Management Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"181,612",Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Services,No Value
2018-19,"181,769",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2018-19,"182,098",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2018-19,"183,482",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,"183,594",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2018-19,"184,022","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Supplies and equipment,No Value
2018-19,"184,580",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Employee benefits,No Value
2018-19,"186,203",Transportation,Operating Expense,Policy and Planning,Policy and Planning,No Value,Supplies and equipment,No Value
2018-19,"187,573",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Mapping and Geographic Information,Supplies and equipment,No Value
2018-19,"188,829",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,No Value
2018-19,"190,725",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"191,563",Community and Social Services,Operating Expense,Adults' Services Program,Community and Developmental Services,No Value,Supplies and equipment,No Value
2018-19,"191,832","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Human Resources,Services,No Value
2018-19,"192,391",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Transportation and communication,No Value 
2018-19,"192,760","Lieutenant Governor, Office of the",Operating Expense,Office of the Lieutenant Governor Program,Office of the Lieutenant Governor,No Value,Services,No Value
2018-19,"193,106",Status of Women,Operating Expense,Status of Women Programs,Status of Women Programs,No Value,Services,No Value
2018-19,"193,409",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,No Value,Employee benefits,No Value
2018-19,"196,271",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"196,644",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Greenhouse Gas Reduction Initiatives,No Value,Services,No Value
2018-19,"198,225",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2018-19,"198,442",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Gaming Policy ,Employee benefits,No Value
2018-19,"198,823",Energy,Operating Expense,Energy Development and Management,Policy and Programs,No Value,Transfer payments,Indigenous Energy Engagements and Consultations
2018-19,"199,034","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,"Economic Development, Investment",Supplies and equipment,No Value
2018-19,"199,382","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Transfer payments,Ontario Youth Entrepreneurship Programs
2018-19,"200,000",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2018-19,"200,706",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Services,No Value
2018-19,"200,756",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"201,043",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"201,144","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transportation and communication,No Value
2018-19,"201,800","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Supplies and equipment,No Value
2018-19,"205,013",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Forest Industry ,Supplies and equipment,No Value
2018-19,"205,084",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,No Value
2018-19,"205,578",Treasury Board Secretariat,Operating Expense,"Centre for Leadership, Learning, Human Resources Policy and Agency Oversight","Centre for Leadership, Learning, Human Resources Policy and Agency Oversight",No Value,Transportation and communication,No Value
2018-19,"205,909",International Trade,Operating Expense,International Trade,International Trade,No Value,Supplies and equipment,No Value
2018-19,"206,442",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Services,No Value
2018-19,"206,806","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Services,No Value
2018-19,"207,179",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Transportation and communication,No Value
2018-19,"209,092",Labour,Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Salaries and wages,No Value
2018-19,"210,322",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2018-19,"211,375",Municipal Affairs / Housing,Capital Expense,Affordable Housing Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"211,725",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"212,838",Labour,Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,No Value,Supplies and equipment,No Value
2018-19,"212,959",Community and Social Services,Operating Expense,Adults' Services Program,Family Responsibility Office,No Value,Supplies and equipment,No Value
2018-19,"213,080","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Statutory Appropriations ,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"214,377",Labour,Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,No Value,Transportation and communication,No Value
2018-19,"214,511",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Municipal Hate Crime Extremism Investigative Funding
2018-19,"214,528",Environment and Climate Change,Operating Expense,Environmental Policy and Programs,Environmental Programs,No Value,Transportation and communication,No Value
2018-19,"216,804",Education,Operating Expense,Ministry Administration Program,Human Resources,Human Resources,Employee benefits,Employee benefits
2018-19,"224,435",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Employee benefits,No Value
2018-19,"225,000",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Ontario Association of Crime Stoppers
2018-19,"225,880","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Transportation and communication,No Value
2018-19,"226,171",Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation,Labour Relations and Compensation,No Value,Transportation and communication,No Value
2018-19,"226,778",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"229,380",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Services,No Value
2018-19,"230,429","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Strategy and Policy ,Transportation and communication,No Value
2018-19,"230,550",Environment and Climate Change,Operating Expense,Environmental Policy and Programs,Environmental Policy ,No Value,Transfer payments,Climate Change Adaptation
2018-19,"230,975",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Ministry Administration ,No Value,Transportation and communication,No Value
2018-19,"231,951",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transfer payments,Grants - National Judicial Institute/Ontario Conference of Judges
2018-19,"235,289",Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,eHealth and Information Management,No Value,Transportation and communication,No Value
2018-19,"236,757",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"237,319","Premier, Office of the",Operating Expense,Office of the Premier Program,Office of the Premier,No Value,Employee benefits,No Value
2018-19,"240,136",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Salaries and wages,No Value
2018-19,"241,943",Natural Resources and Forestry,Capital Expense,Public Protection,Infrastructure for Public Safety and Emergency Response,No Value,Transportation and communication,No Value
2018-19,"242,348",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2018-19,"244,657",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2018-19,"245,240",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Services,No Value
2018-19,"246,946",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,No Value,Transportation and communication,No Value
2018-19,"247,752",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2018-19,"248,067",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,No Value
2018-19,"253,002","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Supplies and equipment,No Value
2018-19,"256,884","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Supplies and equipment,No Value
2018-19,"257,069",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Niagara Escarpment Commission,Services,No Value
2018-19,"257,191",Environment and Climate Change,Operating Expense,Environmental Assessment and Permissions ,Environmental Assessment and Permissions ,No Value,Transportation and communication,No Value
2018-19,"258,126",Treasury Board Secretariat,Operating Expense,Audit Program,Ontario Internal Audit Division,No Value,Transportation and communication,No Value
2018-19,"258,863",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Supplies and equipment,No Value
2018-19,"261,139","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Human Resources,Employee benefits,No Value
2018-19,"263,924",Labour,Capital Expense,Employment Rights and Responsibilities Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"264,163",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee benefits,No Value
2018-19,"264,296","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Transportation and communication,No Value
2018-19,"265,379",Environment and Climate Change,Operating Expense,Environmental Policy and Programs,Environmental Policy ,No Value,Services,No Value
2018-19,"265,571",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services ,No Value,Transportation and communication,No Value
2018-19,"266,641","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Transportation and communication,No Value
2018-19,"267,000",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2018-19,"270,073",Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,No Value,Employee benefits,No Value
2018-19,"270,111",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2018-19,"270,525",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"270,756",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,No Value,Transportation and communication,No Value
2018-19,"274,047",Labour,Operating Expense,Labour Relations Program,Ontario Labour Relations Board,No Value,Transportation and communication,No Value
2018-19,"277,661",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2018-19,"279,155",Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Remote Aviation,Supplies and equipment,No Value
2018-19,"280,350",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Grants to Compensate Municipal Taxation - Public Hospitals
2018-19,"281,030",Labour,Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,No Value,Transfer payments,Grants to promote improved health and safety practices
2018-19,"282,409",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2018-19,"283,435",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Supplies and equipment,No Value
2018-19,"283,809",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Statutory Appropriations,Statutory Appropriations,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"283,848",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"285,902",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,No Value
2018-19,"286,425",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Supplies and equipment,No Value
2018-19,"288,821","Tourism, Culture and Sport",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Supplies and equipment,No Value
