Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"1,896,214","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Employee Benefits,
2015-16,"13,443,899","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Salaries and Wages,
2015-16,"5,020,822","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Services,
2015-16,"199,283","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Supplies and equipment,
2015-16,"480,696","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Transportation and Communication,
2015-16,"800,554","Ministry of Citizenship, Immigration and International Trade",Operating Expense,International Trade,International Trade,International Trade,Employee Benefits,
2015-16,"5,823,346","Ministry of Citizenship, Immigration and International Trade",Operating Expense,International Trade,International Trade,International Trade,Salaries and Wages,
2015-16,"11,861,356","Ministry of Citizenship, Immigration and International Trade",Operating Expense,International Trade,International Trade,International Trade,Services,
2015-16,"557,919","Ministry of Citizenship, Immigration and International Trade",Operating Expense,International Trade,International Trade,International Trade,Supplies and equipment,
2015-16,"1,466,117","Ministry of Citizenship, Immigration and International Trade",Operating Expense,International Trade,International Trade,International Trade,Transportation and Communication,
2015-16,"49,301","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"69,932","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee Benefits,
2015-16,"279,393","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee Benefits,
2015-16,"327,014","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee Benefits,
2015-16,"342,577","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee Benefits,
2015-16,"408,041","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Employee Benefits,
2015-16,"968,588","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Employee Benefits,
2015-16,"2,922","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and Wages,
2015-16,"565,724","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and Wages,
2015-16,"1,423,906","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Salaries and Wages,
2015-16,"2,273,391","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and Wages,
2015-16,"2,435,683","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and Wages,
2015-16,"2,798,311","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and Wages,
2015-16,"4,582,709","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Salaries and Wages,
2015-16,"11,170","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Services,
2015-16,"78,997","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Services,
2015-16,"215,606","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Services,
2015-16,"222,264","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2015-16,"576,833","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2015-16,"1,860,851","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,
2015-16,"2,481,898","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"3,046,490","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,
2015-16,"3,199","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Supplies and equipment,
2015-16,"9,393","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Supplies and equipment,
2015-16,"40,839","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2015-16,"51,459","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2015-16,"54,313","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2015-16,"66,034","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Supplies and equipment,
2015-16,"88,198","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,677,"Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and Communication,
2015-16,"5,513","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Transportation and Communication,
2015-16,"12,339","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Transportation and Communication,
2015-16,"18,019","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"48,419","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and Communication,
2015-16,"50,518","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and Communication,
2015-16,"142,203","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and Communication,
2015-16,"299,223","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Transportation and Communication,
2015-16,"262,257","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Employee Benefits,
2015-16,"2,054,866","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Salaries and Wages,
2015-16,"811,610","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Services,
2015-16,"27,894","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Supplies and equipment,
2015-16,"48,272","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Transportation and Communication,
2015-16,"298,301","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Employee Benefits,
2015-16,"2,454,665","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Salaries and Wages,
2015-16,"8,043,649","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Services,
2015-16,"27,768","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Supplies and equipment,
2015-16,"225,089","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Transportation and Communication,
2015-16,"50,001","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"28,373,086",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transfer Payments,Aboriginal Healing and Wellness Strategy
2015-16,"4,008,437",Ministry of Community and Social Services,Capital Expense, Adults' Services Program,Adults' Services,Adults' Services,Transfer Payments,Capital Grants
2015-16,"9,961,000",Ministry of Community and Social Services,Capital Expense, Adults' Services Program,Adults' Services,Adults' Services,Other Transaction,Capital Investments
2015-16,"46,804,307",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transfer Payments,Ontario Disability Support Program - Employment Assistance
2015-16,"4,590,965,969",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transfer Payments,Ontario Disability Support Program - Financial Assistance
2015-16,"1,160,683,140",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transfer Payments,Ontario Drug Benefit Plan
2015-16,"196,294,368",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transfer Payments,Ontario Works - Employment Assistance
2015-16,"2,526,911,397",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transfer Payments,Ontario Works - Financial Assistance
2015-16,"23,989,275",Ministry of Community and Social Services,Capital Expense, Adults' Services Program,Adults' Services,Adults' Services,Transfer Payments,Partner Facility Renewal
2015-16,"1,297,303,492",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transfer Payments,Residential Services
2015-16,"703,991,321",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transfer Payments,Supportive Services
2015-16,"50,436,949",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transfer Payments,Supports to Community Living
2015-16,"147,042,738",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transfer Payments,Violence Against Women
2015-16,"26,112,215",Ministry of Community and Social Services,Capital Expense, Adults' Services Program,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"39,532,400",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"6,090,401",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Employee Benefits,
2015-16,"26,339,432",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Salaries and Wages,
2015-16,"9,899,991",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Services,
2015-16,"291,914",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Supplies and equipment,
2015-16,"1,192,222",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Community and Developmental Services,Community and Developmental Services,Transportation and Communication,
2015-16,"5,169,551",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Family Responsibility Office,Family Responsibility Office,Employee Benefits,
2015-16,"30,480,431",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Family Responsibility Office,Family Responsibility Office,Salaries and Wages,
2015-16,"19,275,349",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Family Responsibility Office,Family Responsibility Office,Services,
2015-16,"250,204",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Family Responsibility Office,Family Responsibility Office,Supplies and equipment,
2015-16,"982,260",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Family Responsibility Office,Family Responsibility Office,Transportation and Communication,
2015-16,"28,778,166",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Employee Benefits,
2015-16,"172,615,695",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Salaries and Wages,
2015-16,"113,074,214",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Services,
2015-16,"2,447,304",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Supplies and equipment,
2015-16,"10,446,748",Ministry of Community and Social Services,Operating Expense, Adults' Services Program,Financial and Employment Supports,Financial and Employment Supports,Transportation and Communication,
2015-16,"49,301",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"207,657",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Employee Benefits,
2015-16,"253,905",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee Benefits,
2015-16,"372,609",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee Benefits,
2015-16,"867,964",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Employee Benefits,
2015-16,"1,103,968",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee Benefits,
2015-16,"9,081",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and Wages,
2015-16,"1,270,749",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and Wages,
2015-16,"1,746,265",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and Wages,
2015-16,"1,839,647",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Salaries and Wages,
2015-16,"6,225,913",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and Wages,
2015-16,"6,848,556",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Salaries and Wages,
2015-16,"195,163",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Services,
2015-16,"230,358",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2015-16,"447,571",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2015-16,"861,561",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2015-16,"1,355,821",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,
2015-16,"3,976,580",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"5,531,679",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Services,
2015-16,"7,693",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Supplies and equipment,
2015-16,"31,240",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2015-16,"47,658",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Supplies and equipment,
2015-16,"64,597",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,"83,022",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,
2015-16,"30,567",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"37,884",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and Communication,
2015-16,"52,259",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and Communication,
2015-16,"52,643",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Transportation and Communication,
2015-16,"190,697",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and Communication,
2015-16,"230,350",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Information Services,Transportation and Communication,
2015-16,"16,667",Ministry of Community and Social Services,Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"22,385,400",Ministry of Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Correctional Facilities,Correctional Facilities,Other Transaction,Capital Investments
2015-16,"11,187,481",Ministry of Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,Ontario Provincial Police,Other Transaction,Capital Investments
2015-16,"16,973,617",Ministry of Community Safety and Correctional Services,Capital Expense,Public Safety Division,Public Safety Division,Public Safety Division,Other Transaction,Capital Investments
2015-16,"5,508,622",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Transfer Payments,Community Residential / Non-Residential Client Services
2015-16,"884,254",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,Operational Support,Transfer Payments,Community Works Program
2015-16,"9,444",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Transfer Payments,Compassionate allowances to permanently handicapped inmates
2015-16,"75,758,858",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Court Security
2015-16,"627,530",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,Operational Support,Transfer Payments,Electronic Supervision
2015-16,"30,005,695",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Federal-Provincial First Nations Policing Agreement
2015-16,"750,208",Ministry of Community Safety and Correctional Services,Capital Expense,Public Safety Division,Public Safety Division,Public Safety Division,Transfer Payments,Federal-Provincial First Nations Policing Agreements
2015-16,"30,420,000",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Grants for Community Policing and Crime Prevention
2015-16,"600,000",Ministry of Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Fire Marshal and Emergency Management,Office of the Fire Marshal and Emergency Management,Transfer Payments,Grants for Fire Safety
2015-16,"2,008,932",Ministry of Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Chief Coroner and Ontario Forensic Pathology Service,Office of the Chief Coroner and Ontario Forensic Pathology Service,Transfer Payments,Grants for Forensic Services
2015-16,"2,298,314",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Grants for Municipal Reduce Impaired Driving Everywhere (RIDE) Programs
2015-16,"56,286,618",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Grants for Public Safety
2015-16,"665,330",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Transfer Payments,Grants to compensate for Municipal Taxation
2015-16,"231,461",Ministry of Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,Ontario Provincial Police,Other Transaction,Loss on asset disposal
2015-16,"10,717,779",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Miscellaneous Grants - Policing Services
2015-16,"231,303",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Municipal Hate Crime Extremism Investigative Funding
2015-16,"2,329,220",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Transfer Payments,Offender Rehabilitation Programs
2015-16,"225,000",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Ontario Association of Crime Stoppers
2015-16,"14,941,089",Ministry of Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Payments under the Financial Administration Act,Statutory Appropriations,Other Transaction,Payments under FAA
2015-16,"-1,209,664",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Recoveries,Recoveries
2015-16,"-3,477,010",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Recoveries,Recoveries
2015-16,"-31,051,183",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,Field and Traffic Services,Recoveries,Recoveries
2015-16,"-3,057,145",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,Fleet Management,Recoveries,Recoveries
2015-16,"-3,438,784",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,Investigations and Organized Crime,Recoveries,Recoveries
2015-16,"-81,574,602",Ministry of Community Safety and Correctional Services,Operating Expense,Justice Technology Services Program,Justice Technology Services,Justice Technology Services,Recoveries,Recoveries
2015-16,"-5,560,975",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,Operational Support,Recoveries,Recoveries
2015-16,"825,694",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,Safe and Vital Communities Grants
2015-16,"41,294,925",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,External Relations Branch,Transfer Payments,"Safer Communities 1,000 Officers Partnership"
2015-16,"97,153",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,Institutional Services,Transfer Payments,Violence Awareness Program
2015-16,"36,899",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Employee Benefits,
2015-16,"81,834",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Employee Benefits,
2015-16,"172,707",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Salaries and Wages,
2015-16,"308,160",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Salaries and Wages,
2015-16,"78,511",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Services,
2015-16,"168,909",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Services,
2015-16,"6,362",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Supplies and Equipment,
2015-16,"10,068",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Supplies and Equipment,
2015-16,"23,940",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Transportation and Communication,
2015-16,"41,318",Ministry of Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Transportation and Communication,
2015-16,"250,919",Ministry of Community Safety and Correctional Services,Capital Expense,Emergency Planning and Management,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"1,039,063",Ministry of Community Safety and Correctional Services,Capital Expense,Justice Technology Services Program,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"8,355,071",Ministry of Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"533,769",Ministry of Community Safety and Correctional Services,Capital Expense,Public Safety Division,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"533,052",Ministry of Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Amortization Community Services,Statutory Appropriations,Other Transaction,
2015-16,"125,000",Ministry of Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"2,736,682",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Services,Centre of Forensic Services,Employee Benefits,
2015-16,"18,379,571",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Services,Centre of Forensic Services,Salaries and Wages,
2015-16,"2,542,167",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Services,Centre of Forensic Services,Services,
2015-16,"3,422,751",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Services,Centre of Forensic Services,Supplies and Equipment,
2015-16,"406,269",Ministry of Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Services,Centre of Forensic Services,Transportation and Communication,
2015-16,"347,105",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,Chief Firearms Office,Employee Benefits,
2015-16,"3,343,707",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,Chief Firearms Office,Salaries and Wages,
2015-16,"2,207,066",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,Chief Firearms Office,Services,
2015-16,"59,806",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,Chief Firearms Office,Supplies and Equipment,
2015-16,"113,006",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,Chief Firearms Office,Transportation and Communication,
2015-16,"13,829,762",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Employee Benefits,
2015-16,"83,926,270",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Salaries and Wages,
2015-16,"9,814,956",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Services,
2015-16,"720,835",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Supplies and Equipment,
2015-16,"2,064,659",Ministry of Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,Community Services,Transportation and Communication,
2015-16,"10,270,127",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Employee Benefits,
2015-16,"115,205,786",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Salaries and Wages,
2015-16,"31,798,346",Ministry of Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,Corporate and Strategic Services,Services,
