Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital)(Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),Account Details (Expense/Asset Details) (Level 7)
2017-18,"337,970",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Employee benefits,No Value
2017-18,"2,782,839",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Correctional Services Oversight and Investigations,No Value,Salaries and wages,No Value
2017-18,"4,315,286",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Transfer payments,Community Residential / Non-Residential Client Services
2017-18,"813,216",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Supplies and equipment,No Value
2017-18,"11,108,506",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Services,No Value
2017-18,"2,298,400",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Transportation and communication,No Value
2017-18,"14,356,512",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Employee benefits,No Value
2017-18,"87,337,979",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Salaries and wages,No Value
2017-18,"109,149",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Violence Awareness Program
2017-18,"2,548,533",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Offender Rehabilitation Programs
2017-18,"9,444",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Compassionate allowances to permanently handicapped inmates
2017-18,"634,350",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Grants to compensate for Municipal Taxation
2017-18,"67,337,087",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Supplies and equipment,No Value
2017-18,"74,642,022",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Services,No Value
2017-18,"5,933,777",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transportation and communication,No Value
2017-18,"88,310,580",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Employee benefits,No Value
2017-18,"515,191,323",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Salaries and wages,No Value
2017-18,"685,659",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Supplies and equipment,No Value
2017-18,"2,447,740",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Services,No Value
2017-18,"449,648",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Transportation and communication,No Value
2017-18,"1,001,375",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Employee benefits,No Value
2017-18,"6,705,013",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Salaries and wages,No Value
2017-18,"-6,890,631",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Recoveries,No Value
2017-18,"884,254",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Transfer payments,Community Works Program
2017-18,"6,264,945",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Supplies and equipment,No Value
2017-18,"3,592,786",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Services,No Value
2017-18,"1,431,887",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Transportation and communication,No Value
2017-18,"2,582,581",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Employee benefits,No Value
2017-18,"18,276,741",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Salaries and wages,No Value
2017-18,"9,390,609",Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2017-18,"381,493",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Statutory Appropriations,No Value,Other transactions,Payments under the Police Services Act
2017-18,"434,307",Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,No Value,Other transactions,Loss on asset disposal
2017-18,"18,214,577",Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,No Value,Other transactions,Capital Investments
2017-18,"5,619,314",Community Safety and Correctional Services,Capital Expense,Ontario Provincial Police,Ontario Provincial Police,No Value,Services,No Value
2017-18,"-2,946,179",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Recoveries,No Value
2017-18,"42,629,060",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Supplies and equipment,No Value
2017-18,"21,765,118",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Services,No Value
2017-18,"55,644",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Transportation and communication,No Value
2017-18,"-32,979,288",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Recoveries,No Value
2017-18,"7,512,042",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Supplies and equipment,No Value
2017-18,"22,603,218",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Services,No Value
2017-18,"7,562,553",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Transportation and communication,No Value
2017-18,"107,553,690",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Employee benefits,No Value
2017-18,"625,187,657",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Field and Traffic Services,No Value,Salaries and wages,No Value
2017-18,"-2,623,072",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Recoveries,No Value
2017-18,"2,690,527",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Supplies and equipment,No Value
2017-18,"10,193,838",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Services,No Value
2017-18,"5,223,306",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Transportation and communication,No Value
2017-18,"7,084,496",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Employee benefits,No Value
2017-18,"105,025,022",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Salaries and wages,No Value
2017-18,"55,373",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Supplies and equipment,No Value
2017-18,"2,202,611",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Services,No Value
2017-18,"108,784",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Transportation and communication,No Value
2017-18,"376,631",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Employee benefits,No Value
2017-18,"3,589,486",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Salaries and wages,No Value
2017-18,"-1,234,364",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Recoveries,No Value
2017-18,"15,226,430",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Supplies and equipment,No Value
2017-18,"29,496,750",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Services,No Value
2017-18,"15,822,608",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Transportation and communication,No Value
2017-18,"11,436,659",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Employee benefits,No Value
2017-18,"124,518,713",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Salaries and wages,No Value
2017-18,"679,603",Community Safety and Correctional Services,Capital Expense,Public Safety Division,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2017-18,"16,572,398",Community Safety and Correctional Services,Capital Expense,Public Safety Division,Public Safety Division,No Value,Other transactions,Capital Investments
2017-18,"781,786",Community Safety and Correctional Services,Capital Expense,Public Safety Division,Public Safety Division,No Value,Transfer payments,Federal-Provincial First Nations Policing Agreements
2017-18,"2,944,544",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Supplies and equipment,No Value
2017-18,"2,854,281",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Services,No Value
2017-18,"512,808",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Transportation and communication,No Value
2017-18,"2,896,174",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Employee benefits,No Value
2017-18,"18,922,980",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,No Value,Salaries and wages,No Value
2017-18,"7,740",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Supplies and equipment,No Value
2017-18,"238,121",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Services,No Value
2017-18,"45,414",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Transportation and communication,No Value
2017-18,"170,980",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Employee benefits,No Value
2017-18,"1,233,714",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Salaries and wages,No Value
2017-18,"-11,058,786",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Recoveries,No Value
2017-18,"111,597,810",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Court Security
2017-18,"37,773,928",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Community Safety and Well-Being Grant
2017-18,"5,750,000",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Grants for Public Safety
2017-18,"225,000",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Ontario Association of Crime Stoppers
2017-18,"214,511",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Municipal Hate Crime Extremism Investigative Funding
2017-18,"20,684,439",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,"Safer Communities 1,000 Officers Partnership"
2017-18,"41,626,022",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Federal - Provincial First Nations Policing Agreement
2017-18,"845,411",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Safer and Vital Communities Grant
2017-18,"13,543,137",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Miscellaneous Grants - Policing Services
2017-18,"2,268,495",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Grants for Municipal Reduce Impaired Driving Everywhere (RIDE) Programs
2017-18,"15,476,593",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Grants for Community Policing and Crime Prevention
2017-18,"342,007",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Supplies and equipment,No Value
2017-18,"5,300,379",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Services,No Value
2017-18,"899,663",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transportation and communication,No Value
2017-18,"785,670",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Employee benefits,No Value
2017-18,"5,636,466",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Salaries and wages,No Value
2017-18,"4,421",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Supplies and equipment,No Value
2017-18,"53,864",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Services,No Value
2017-18,"38,186",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Transportation and communication,No Value
2017-18,"68,292",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Employee benefits,No Value
2017-18,"406,802",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Salaries and wages,No Value
2017-18,"50,000",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2017-18,"17,792,381",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,Payments Under the Financial Administration Act
2017-18,"49,301",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2017-18,"204,737",Community Safety and Correctional Services,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Other Transactions - Capital Investment
2017-18,"820,488",Community Safety and Correctional Services,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Services,No Value
2017-18,"18,462",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Modernization,Supplies and equipment,No Value
2017-18,"253,605",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Modernization,Services,No Value
2017-18,"55,522",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Modernization,Transportation and communication,No Value
2017-18,"128,900",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Modernization,Employee benefits,No Value
2017-18,"1,052,078",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Modernization,Salaries and wages,No Value
2017-18,"114,449,776",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Services,No Value
2017-18,"45,749",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2017-18,"6,164,411",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2017-18,"133,405",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2017-18,"1,829",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,No Value
2017-18,"35,972",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,No Value
2017-18,"16,982",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2017-18,"320,418",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2017-18,"81,933",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2017-18,"405,069",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2017-18,"2,814,144",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2017-18,"542,534",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2017-18,"2,943,884",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2017-18,"601,606",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2017-18,"1,700,492",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2017-18,"13,793,346",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2017-18,"21,885",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2017-18,"297,711",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2017-18,"298,241",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2017-18,"473,154",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2017-18,"3,457,556",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2017-18,"79,400,000","Economic Development and Growth / Research, Innovation and Science",Capital Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Research Fund
2017-18,"-68,391,813","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Recoveries,No Value
2017-18,"2,000,001","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Clinical Trials Ontario
2017-18,"2,750,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Youth Jobs Strategy – Innovation
2017-18,"4,485,649","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Small Business Enterprise Centres
2017-18,"10,426,996","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Early Researcher Awards
2017-18,"10,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Perimeter Institute
2017-18,"9,700,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Scale-Up Voucher Program Transfer Payment
2017-18,"58,877,500","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Research Fund Research Excellence
2017-18,"72,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Institute for Cancer Research
2017-18,"158,616,300","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Innovation Tax Credit
2017-18,"6,800,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Emerging Technologies Fund
2017-18,"55,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Capital Growth Corporation - Cleantech Equity Fund
2017-18,"4,700,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Next Generation Baycrest Initiative
2017-18,"5,680,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Neurotrauma Program
2017-18,"35,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Life Sciences Venture Capital Fund
2017-18,"1,500,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Lazaridis Institute
2017-18,"3,293,800","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,International Collaborations
2017-18,"5,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Institute for Quantum Computing
2017-18,"1,500,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Institute for Fiscal Studies and Democracy Canada
2017-18,"28,516,298","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Greenhouse Gas Reduction Innovation Fund
2017-18,"10,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Green Focus on Innovation and Technology
2017-18,"15,707,500","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Grants in Support of Research and Innovation
2017-18,"7,556,387","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Global Market Acceleration Fund
2017-18,"5,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Connected/Autonomous Vehicle Project
2017-18,"67,265,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Commercialization and Innovation Network Support
2017-18,"6,670,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,College-Based Applied Research Projects
2017-18,"2,600,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Cleantech Innovation Investment
2017-18,"10,600,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Cleantech Accelerators
2017-18,"23,821,400","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Business Research Institution Tax Credit
2017-18,"750,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Bioindustrial Innovation
2017-18,"10,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Artificial Intelligence Institute
2017-18,"6,999,999","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Advanced Manufacturing Consortium
2017-18,"35,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,5G/Next Generation Networks
2017-18,"2,800,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,TalentEdge
2017-18,"3,093,527","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Centre for International Governance Innovation
2017-18,"6,750,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Institute for Regenerative Medicine
2017-18,"2,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",No Value,Transfer payments,Ontario Capital Growth Corporation - Operating
2017-18,"15,149,211","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2017-18,"78,169","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Trade and Marketing,Supplies and equipment,No Value
2017-18,"7,891,646","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Trade and Marketing,Services,No Value
2017-18,"42,890","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Trade and Marketing,Transportation and communication,No Value
2017-18,"280,423","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Trade and Marketing,Employee benefits,No Value
2017-18,"2,296,855","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Trade and Marketing,Salaries and wages,No Value
2017-18,"-120,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Recoveries,No Value
2017-18,"7,653,440","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Youth Skills Connections
2017-18,"1,678,087","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Youth Partnerships
2017-18,"1,918,801","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Student Entrpreneurship Experience - Summer Company
2017-18,"5,224,873","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Social Enterprise Supports
2017-18,"2,956,323","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Social Enterprise Demonstration Fund
2017-18,"691,838","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Ontario Youth Entrepreneurship Programs
2017-18,"820,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Institute for Competitiveness and Prosperity
2017-18,"4,531,855","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transfer payments,Entrepreneurship Programs
2017-18,"97,927","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Supplies and equipment,No Value
2017-18,"3,724,296","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Services,No Value
2017-18,"192,402","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Transportation and communication,No Value
2017-18,"932,842","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Employee benefits,No Value
2017-18,"7,328,839","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,Policy and Strategy,Salaries and wages,No Value
2017-18,"498,979","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Growth,"Economic Development, Investment and Industry",Transfer payments,Trillium Network for Advanced Manufacturing
