Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2023-24,1088314,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2023-24,89240,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2023-24,1793,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2023-24,558486,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2023-24,2197,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2023-24,1039673,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2023-24,128494,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2023-24,4193,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2023-24,137579,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2023-24,1049,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2023-24,49301,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
2023-24,33155,Citizenship and Multiculturalism,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act"
2023-24,4553746,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Salaries and wages,No Value
2023-24,514394,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Employee benefits,No Value
2023-24,30120,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Transportation and communication,No Value
2023-24,3408160,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Services,No Value
2023-24,4765,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Supplies and equipment,No Value
2023-24,32644280,Citizenship and Multiculturalism,Operating Expense,Anti-racism Directorate Program,Anti-Racism Directorate,No Value,Transfer payments,Anti-Racism Initiatives
2023-24,7950581,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Salaries and wages,No Value
2023-24,1134414,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Employee benefits,No Value
2023-24,432603,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Transportation and communication,No Value
2023-24,2091493,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Services,No Value
2023-24,65038,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Supplies and equipment,No Value
2023-24,20394808,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Transfer payments,Youth Action Plan
2023-24,3829300,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Transfer payments,Ontario Heritage Trust
2023-24,1143705,Citizenship and Multiculturalism,Operating Expense,"Citizenship, Inclusion and Heritage","Citizenship, Inclusion and Heritage",No Value,Transfer payments,Heritage Sector Support
2023-24,4170675,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2023-24,411692,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2023-24,94575,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2023-24,154044,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2023-24,9617,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2023-24,2845240,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2023-24,407757,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2023-24,25477,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2023-24,179289,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2023-24,3967,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2023-24,6604,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Transportation and communication,No Value
2023-24,147705452,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Services,No Value
2023-24,21136322,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2023-24,2637373,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2023-24,10567,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2023-24,60758716,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2023-24,75150,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2023-24,-90000,Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Recoveries,No Value
2023-24,49301,Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2023-24,16667,Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2023-24,304209279,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Salaries and wages,No Value
2023-24,31892352,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Employee benefits,No Value
2023-24,3949527,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transportation and communication,No Value
2023-24,23818262,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Services,No Value
2023-24,2886181,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Supplies and equipment,No Value
2023-24,1332639,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Bail Safety
2023-24,6635365,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Justice Centre – Community Partnerships
2023-24,3594580,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Direct Accountability Programs
2023-24,172321,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Proceeds of Crime Victims Compensation
2023-24,227124,Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Other transactions,No Value
2023-24,366884,Attorney General,Operating Expense,Prosecuting Crime Program,Statutory Appropriations,No Value,Other transactions,Payments under the Financial Administration Act
2023-24,339743282,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Legal Aid Ontario,No Value,Transfer payments,Legal Aid Ontario
2023-24,3830456,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Salaries and wages,No Value
2023-24,661613,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Employee benefits,No Value
2023-24,25473,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Transportation and communication,No Value
2023-24,1112092,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Services,No Value
2023-24,3350,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Supplies and equipment,No Value
2023-24,626,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Transportation and communication,No Value
2023-24,11601,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Services,No Value
2023-24,13493640,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Transfer payments,Bail Verification and Supervision
2023-24,4528263,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Salaries and wages,No Value
2023-24,514346,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Employee benefits,No Value
2023-24,106945,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Transportation and communication,No Value
2023-24,586660,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Services,No Value
2023-24,29198,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Supplies and equipment,No Value
2023-24,5935563,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Human Rights Legal Support Centre,Transfer payments,Human Rights Legal Support Centre
2023-24,6436841,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Salaries and wages,No Value
2023-24,834602,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Employee benefits,No Value
2023-24,55600,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Transportation and communication,No Value
2023-24,413499,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Services,No Value
2023-24,14797,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Supplies and equipment,No Value
2023-24,9362209,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Salaries and wages,No Value
2023-24,1171869,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Employee benefits,No Value
2023-24,488798,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Transportation and communication,No Value
2023-24,1115095,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Services,No Value
2023-24,220690,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Supplies and equipment,No Value
2023-24,65867138,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Salaries and wages,No Value
2023-24,9389124,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Employee benefits,No Value
2023-24,1355144,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Transportation and communication,No Value
2023-24,21029937,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Services,No Value
2023-24,318977,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Supplies and equipment,No Value
2023-24,-263160,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Recoveries,No Value
2023-24,12397122,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Salaries and wages,No Value
2023-24,1634907,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Employee benefits,No Value
2023-24,800290,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Transportation and communication,No Value
2023-24,3223153,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Services,No Value
2023-24,148105,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Land Tribunals,Supplies and equipment,No Value
2023-24,6532139,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,No Value,Salaries and wages,No Value
2023-24,790098,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,No Value,Employee benefits,No Value
2023-24,31393,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,No Value,Transportation and communication,No Value
2023-24,255350,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,No Value,Services,No Value
2023-24,2982,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Policy,No Value,Supplies and equipment,No Value
2023-24,4640926,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Salaries and wages,No Value
2023-24,543550,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Employee benefits,No Value
2023-24,337118,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transportation and communication,No Value
2023-24,290582,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Services,No Value
2023-24,17626,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Supplies and equipment,No Value
2023-24,5236036,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Ontario Indigenous Courtwork Program
2023-24,20922679,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Indigenous Justice Projects
2023-24,10573999,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Indigenous Victims' Services
2023-24,104214,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Indigenous Justice Division,No Value,Transfer payments,Jury Roll
2023-24,26222,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2023-24,751991,Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,Hearings under the Police Services Act
2023-24,37446912,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Salaries and wages,No Value
2023-24,3963924,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Employee benefits,No Value
2023-24,306952,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Transportation and communication,No Value
2023-24,14031824,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Services,No Value
2023-24,254760,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Supplies and equipment,No Value
2023-24,-26089186,Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Recoveries,No Value
2023-24,127213980,Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Salaries and wages,No Value
2023-24,12055003,Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Employee benefits,No Value
2023-24,-129428819,Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Recoveries,No Value
2023-24,6501646,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Salaries and wages,No Value
2023-24,737748,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Employee benefits,No Value
2023-24,23977,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Transportation and communication,No Value
2023-24,263581,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Services,No Value
2023-24,10415,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Supplies and equipment,No Value
2023-24,-1595152,Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Recoveries,No Value
2023-24,26948329,Attorney General,Operating Expense,Legal Services Program,Statutory Appropriations,No Value,Other transactions,The Proceedings against the Crown Act
2023-24,210487623,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Salaries and wages,No Value
2023-24,35444922,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Employee benefits,No Value
2023-24,13646464,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transportation and communication,No Value
2023-24,75628632,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Services,No Value
2023-24,5792808,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Supplies and equipment,No Value
2023-24,1517619,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transfer payments,Federal Contraventions Act - Support for French Language Services
2023-24,44174236,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Other transactions,No Value
2023-24,193194119,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Salaries and wages,No Value
2023-24,14544177,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Employee benefits,No Value
2023-24,2724363,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transportation and communication,No Value
2023-24,25149588,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Services,No Value
2023-24,663286,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Supplies and equipment,No Value
2023-24,339350,Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transfer payments,Grants - National Judicial Institute/Ontario Conference of Judges
2023-24,22981471,Attorney General,Operating Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2023-24,5586250,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Salaries and wages,No Value
2023-24,750337,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Employee benefits,No Value
2023-24,105257,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transportation and communication,No Value
2023-24,1389816,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Services,No Value
2023-24,21798,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Supplies and equipment,No Value
2023-24,1792211,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Drug Treatment Courts
2023-24,12288366,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Grants for Partner Assault Response Programs
2023-24,1920099,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Special Victims' Projects
2023-24,41092,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Compensation to Victims of Crime
2023-24,1320000,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Child Victims' Program
2023-24,350000,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Specialized Services
2023-24,94440,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services,No Value,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Victims Compensation
2023-24,21308093,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Salaries and wages,No Value
2023-24,3897830,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Employee benefits,No Value
2023-24,665000,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Transportation and communication,No Value
2023-24,775474,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Services,No Value
2023-24,106654,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victim Witness Assistance,No Value,Supplies and equipment,No Value
2023-24,9717502,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Salaries and wages,No Value
2023-24,1068438,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Employee benefits,No Value
2023-24,146604,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Transportation and communication,No Value
2023-24,21463755,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Services,No Value
2023-24,64877,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Supplies and equipment,No Value
2023-24,-77871,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Children’s Lawyer,Recoveries,No Value
2023-24,41820478,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Salaries and wages,No Value
2023-24,5981760,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Employee benefits,No Value
2023-24,721310,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Transportation and communication,No Value
2023-24,18793985,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Services,No Value
2023-24,241236,Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Supplies and equipment,No Value
2023-24,11955350,Attorney General,Operating Expense,Political Contribution Tax Credit Program,Political Contribution Tax Credit,No Value,Transfer payments,Political Contribution Tax Credit
2023-24,88910849,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Salaries and wages,No Value
2023-24,20604531,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Employee benefits,No Value
2023-24,1303336,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Transportation and communication,No Value
2023-24,13283507,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Services,No Value
2023-24,1148254,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Supplies and equipment,No Value
2023-24,-46902731,Attorney General,Operating Expense,Alcohol and Gaming Commission of Ontario Program,Alcohol and Gaming Commission of Ontario,No Value,Recoveries,No Value
2023-24,44623075,Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Asset Renewal
2023-24,13648162,Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Renewal Expense
2023-24,7524200,Attorney General,Capital Expense,Ministry Administration Program,Modernization Initiative,No Value,Other transactions,Capital Asset Write-Off
2023-24,2629511,Attorney General,Capital Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2023-24,6186275,Attorney General,Capital Expense,Court Services Program,Court Construction,No Value,Other transactions,Major Infrastructure Projects – Payments
2023-24,1599797,Attorney General,Capital Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2023-24,2117326,Attorney General,Capital Expense,Alcohol and Gaming Commission of Ontario Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2023-24,352000,Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transfer payments,Innovation Projects
2023-24,3317591,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2023-24,431660,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2023-24,95871,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2023-24,95201,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2023-24,9037,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2023-24,9345181,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2023-24,1420674,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2023-24,53998,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2023-24,14496190,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2023-24,379613,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2023-24,-34000,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2023-24,2123510,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2023-24,661341,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2023-24,12527,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2023-24,397480,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2023-24,7793,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2023-24,4338404,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2023-24,644061,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2023-24,121642,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2023-24,445082,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2023-24,11734,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2023-24,42571,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2023-24,12889430,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2023-24,16600,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2023-24,2199893,"Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Salaries and wages,No Value
