Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"768,837","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2021-22,"43,168","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2021-22,"11,467,041","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2021-22,"21,001","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2021-22,"-34,000","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2021-22,"1,843,177","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2021-22,"662,760","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"14,030","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"311,794","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,"13,156","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"4,209,051","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"600,127","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"109,530","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"239,142","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"34,691","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"31,623","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"12,647,578","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"30,304","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"3,656,096","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Salaries and wages,No Value
2021-22,"507,159","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Employee benefits,No Value
2021-22,"24,896","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2021-22,"9,833,222","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2021-22,"6,488","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Supplies and equipment,No Value
2021-22,"49,301","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"16,667","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"82,325","Environment, Conservation and Parks",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"11,458,018","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Salaries and wages,No Value
2021-22,"1,538,715","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Employee benefits,No Value
2021-22,"59,197","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transportation and communication,No Value
2021-22,"8,037,621","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Services,No Value
2021-22,"6,694","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Supplies and equipment,No Value
2021-22,"50,000","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transfer payments,Environmental Planning and Action- General
2021-22,"4,000,000","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transfer payments,Greenbelt Foundation
2021-22,"517,000","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transfer payments,Indigenous Engagement and Collaboration
2021-22,"3,000,000","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transfer payments,Walkerton Clean Water Centre
2021-22,"13,018,056","Environment, Conservation and Parks",Operating Expense,Environmental Policy,Environmental Policy and Programs,No Value,Transfer payments,Wastewater Monitoring and Public Reporting
2021-22,"29,390,013","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Salaries and wages,No Value
2021-22,"4,691,180","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Employee benefits,No Value
2021-22,"415,999","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Transportation and communication,No Value
2021-22,"3,356,985","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Services,No Value
2021-22,"2,570,550","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Supplies and equipment,No Value
2021-22,"179,000","Environment, Conservation and Parks",Operating Expense,Environmental Sciences and Standards Program,Environmental Sciences and Standards,No Value,Transfer payments,Environmental Science and Technical Research
2021-22,"75,108,505","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Salaries and wages,No Value
2021-22,"12,214,230","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Employee benefits,No Value
2021-22,"871,502","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Transportation and communication,No Value
2021-22,"3,221,192","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Services,No Value
2021-22,"631,732","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Supplies and equipment,No Value
2021-22,"223,500","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Transfer payments,Ontario Community Environment Fund
2021-22,"-223,500","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement,No Value,Recoveries,No Value
2021-22,"519,874","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Salaries and wages,No Value
2021-22,"63,915","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Employee benefits,No Value
2021-22,"2,116","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Transportation and communication,No Value
2021-22,"3,923","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Services,No Value
2021-22,595,"Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Supplies and equipment,No Value
2021-22,"28,275","Environment, Conservation and Parks",Operating Expense,Environmental Compliance and Operations,Indigenous Drinking Water Program,No Value,Transfer payments,Indigenous Community Drinking Water
2021-22,"22,632,989","Environment, Conservation and Parks",Operating Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions,No Value,Salaries and wages,No Value
2021-22,"3,171,801","Environment, Conservation and Parks",Operating Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions,No Value,Employee benefits,No Value
2021-22,"166,947","Environment, Conservation and Parks",Operating Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions,No Value,Transportation and communication,No Value
2021-22,"2,572,151","Environment, Conservation and Parks",Operating Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions,No Value,Services,No Value
2021-22,"26,122","Environment, Conservation and Parks",Operating Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions,No Value,Supplies and equipment,No Value
2021-22,"9,351,620","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Salaries and wages,No Value
2021-22,"1,309,499","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Employee benefits,No Value
2021-22,"72,495","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Transportation and communication,No Value
2021-22,"1,841,090","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Services,No Value
2021-22,"8,824","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Supplies and equipment,No Value
2021-22,"140,000","Environment, Conservation and Parks",Operating Expense,Climate Change and Resiliency,Climate Change and Resiliency,No Value,Transfer payments,Climate Change Impact Assessment Initiative
2021-22,"65,621,374","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Salaries and wages,No Value
2021-22,"9,099,328","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Employee benefits,No Value
2021-22,"1,922,019","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Transportation and communication,No Value
2021-22,"32,735,660","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Services,No Value
2021-22,"25,045,371","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Supplies and equipment,No Value
2021-22,"60,000","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Transfer payments,Ontario Parks Resource Stewardship
2021-22,"1,600,000","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Transfer payments,Conservation Partnership
2021-22,"-113,145,841","Environment, Conservation and Parks",Operating Expense,Land and Water,Ontario Parks,No Value,Recoveries,No Value
2021-22,"11,528,478","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Salaries and wages,No Value
2021-22,"1,774,240","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Employee benefits,No Value
2021-22,"82,028","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transportation and communication,No Value
2021-22,"8,037,003","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Services,No Value
2021-22,"229,348","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Supplies and equipment,No Value
2021-22,"4,260,822","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transfer payments,Species at Risk Stewardship Program
2021-22,"2,438,429","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transfer payments,Muskoka Watershed Initiative Program
2021-22,"6,935,034","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transfer payments,Great Lakes - General
2021-22,"1,151,977","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transfer payments,Lake Simcoe - General
2021-22,"5,393,306","Environment, Conservation and Parks",Operating Expense,Land and Water,Conservation and Water Protection,No Value,Transfer payments,Drinking Water Source Protection
2021-22,"1,874,159","Environment, Conservation and Parks",Capital Expense,Environmental Sciences and Standards Program,Environmental Sciences — Capital,No Value,Other transactions,No Value
2021-22,"1,208,960","Environment, Conservation and Parks",Capital Expense,Environmental Sciences and Standards Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"1,004,600","Environment, Conservation and Parks",Capital Expense,Environmental Compliance and Operations,Environmental Remediation – Capital,No Value,Services,No Value
2021-22,"205,629","Environment, Conservation and Parks",Capital Expense,Environmental Compliance and Operations,Environmental Compliance and Enforcement– Capital,No Value,Supplies and equipment,No Value
2021-22,"784,656","Environment, Conservation and Parks",Capital Expense,Environmental Compliance and Operations,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"241,313","Environment, Conservation and Parks",Capital Expense,Environmental Assessment and Permissions,Environmental Assessment and Permissions – Capital,No Value,Services,No Value
2021-22,"3,851,036","Environment, Conservation and Parks",Capital Expense,Environmental Assessment and Permissions,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"22,640","Environment, Conservation and Parks",Capital Expense,Land and Water,Ontario Parks - Capital,No Value,Transportation and communication,No Value
2021-22,"4,957,800","Environment, Conservation and Parks",Capital Expense,Land and Water,Ontario Parks - Capital,No Value,Services,No Value
2021-22,"2,106,682","Environment, Conservation and Parks",Capital Expense,Land and Water,Ontario Parks - Capital,No Value,Supplies and equipment,No Value
2021-22,"3,400,000","Environment, Conservation and Parks",Capital Expense,Land and Water,Ontario Parks - Capital,No Value,Transfer payments,Conservation Partnership - Capital
2021-22,"6,000,000","Environment, Conservation and Parks",Capital Expense,Land and Water,Conservation and Water Protection – Capital,No Value,Transfer payments,Wetland Conservation Programs
2021-22,"12,119,766","Environment, Conservation and Parks",Capital Expense,Land and Water,Conservation and Water Protection – Capital,No Value,Transfer payments,Improving Municipal Wastewater and Stormwater Management
2021-22,"5,954,307","Environment, Conservation and Parks",Capital Expense,Land and Water,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"3,656,265",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"457,450",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"64,700",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"144,711",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"11,132",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"5,097,880",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2021-22,"762,235",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2021-22,"49,990",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2021-22,"619,872",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2021-22,"89,815",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2021-22,"1,827,301",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2021-22,"331,700",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"8,043",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"175,522",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,"6,197",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"3,804,303",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"637,175",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"55,083",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"17,826,405",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"93,057",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"40,758",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"8,608,104",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"87,859",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"38,756",Finance,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"17,591",Finance,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister without Portfolio's Salary, the Executive Council Act"
2021-22,"27,849",Finance,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salary, the Executive Council Act"
2021-22,"3,804,529",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,No Value,Salaries and wages,No Value
2021-22,"545,501",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,No Value,Employee benefits,No Value
2021-22,"16,306",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,No Value,Transportation and communication,No Value
2021-22,"196,146",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,No Value,Services,No Value
2021-22,"4,221",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy,No Value,Supplies and equipment,No Value
2021-22,"3,658,528",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Salaries and wages,No Value
2021-22,"480,842",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Employee benefits,No Value
2021-22,"16,364",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Transportation and communication,No Value
2021-22,"767,464",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Services,No Value
2021-22,"1,977",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Supplies and equipment,No Value
2021-22,"-246,275",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise,No Value,Recoveries,No Value
2021-22,"3,505,065",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Salaries and wages,No Value
2021-22,"1,757,986",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Employee benefits,No Value
2021-22,"35,060",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Transportation and communication,No Value
2021-22,"522,206",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Services,No Value
2021-22,"1,742",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Supplies and equipment,No Value
2021-22,"-1,275,411",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Policy,No Value,Recoveries,No Value
2021-22,"157,305",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Salaries and wages,No Value
2021-22,"22,119",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Employee benefits,No Value
2021-22,"2,058",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Transportation and communication,No Value
2021-22,"457,124",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Services,No Value
2021-22,490,Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Supplies and equipment,No Value
2021-22,"-639,096",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Financial Services Tribunal,No Value,Recoveries,No Value
2021-22,"9,128,894",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Salaries and wages,No Value
2021-22,"1,104,290",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Employee benefits,No Value
2021-22,"29,679",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Transportation and communication,No Value
2021-22,"561,409",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Services,No Value
2021-22,"303,944",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Economic Policy,No Value,Supplies and equipment,No Value
2021-22,"3,836,601",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,No Value,Salaries and wages,No Value
2021-22,"492,111",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,No Value,Employee benefits,No Value
2021-22,"24,441",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,No Value,Transportation and communication,No Value
2021-22,"96,595",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,No Value,Services,No Value
2021-22,"4,750",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Office of the Budget,No Value,Supplies and equipment,No Value
2021-22,"839,804,000",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Ontario Electricity Financial Corporation Dedicated Electricity Earnings,No Value,Other transactions,Electricity Sector Dedicated Income
2021-22,"29,499,000",Finance,Operating Expense,"Economic, Fiscal, and Financial Policy Program",Statutory Appropriations,No Value,Other transactions,"Hydro One Inc., Provincial Corporate Tax Provision, the Electricity Act, 1998"
2021-22,"8,167,177",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Salaries and wages,No Value
2021-22,"1,181,718",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Employee benefits,No Value
2021-22,"54,211",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Transportation and communication,No Value
2021-22,"116,442,284",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Services,No Value
2021-22,"6,276",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,"Strategy, Stewardship and Program Policy",Supplies and equipment,No Value
2021-22,"54,274,513",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Salaries and wages,No Value
2021-22,"9,349,147",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Employee benefits,No Value
2021-22,"2,040,476",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transportation and communication,No Value
2021-22,"19,813,676",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Services,No Value
2021-22,"1,200,395",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Supplies and equipment,No Value
2021-22,"214,074,749",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,COVID-19 Response - Business Property Tax Rebate Grant
2021-22,"143,062,849",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Guaranteed Annual Income System
2021-22,"10,306",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Transfer payments,Tax Compliance Partnership Agreements
2021-22,"-2,955,619",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Tax and Benefits Administration,Tax Compliance and Benefits,Recoveries,No Value
2021-22,"5,427,712",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,No Value,Salaries and wages,No Value
2021-22,"715,125",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,No Value,Employee benefits,No Value
2021-22,"19,723",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,No Value,Transportation and communication,No Value
2021-22,"789,641",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,No Value,Services,No Value
2021-22,"67,668",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Taxation Policy,No Value,Supplies and equipment,No Value
2021-22,"7,082,738",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,No Value,Salaries and wages,No Value
2021-22,"847,114",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,No Value,Employee benefits,No Value
2021-22,"26,720",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,No Value,Transportation and communication,No Value
2021-22,"17,515,946",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,No Value,Services,No Value
2021-22,"8,302",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Provincial-Local Finance,No Value,Supplies and equipment,No Value
2021-22,"501,850,000",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,No Value,Transfer payments,Ontario Municipal Partnership Fund
2021-22,"16,692,996",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,No Value,Transfer payments,Special Payments to Municipalities
2021-22,"4,314,272",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Municipal Support Programs,No Value,Transfer payments,Transitional Mitigation Payment
2021-22,"5,011,064",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Statutory Appropriations,No Value,Services,"Payments to Private Collection Agencies, the Financial Administration Act"
2021-22,"32,633,472",Finance,Operating Expense,"Tax, Benefits and Local Finance Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"11,551,766,832",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - For general purposes
2021-22,"399,347,348",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - Canada Pension Plan Investment Board
2021-22,"1,025,956",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - Canada Mortgage and Housing Corporation
2021-22,"11,598",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Ontario Securities - Ontario Immigrant Investor Corporation
2021-22,"-23,128,165",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,"Other Interest, Exchange Discount and Commission"
2021-22,"-55,754,133",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest Capitalized in Ministry Appropriations
2021-22,"-526,407,603",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Investments
2021-22,"400,186,541",Finance,Operating Expense,Treasury Program,Statutory Appropriations,"Interest on Debt, the Financial Administration Act",Other transactions,Interest on Debt Payable to Ontario Electricity Financial Corporation
2021-22,"2,174,000",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Salaries and wages,No Value
2021-22,"281,432",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Employee benefits,No Value
2021-22,"33,608",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Transportation and communication,No Value
